,,int,int,unp,unp
,,mean,std,mean,std
task,group,,,,
baseline49C,c,4.721551724137932,2.2165702466132022,4.943965517241379,2.418094427368411
baseline49C,l,4.621212121212121,2.1875725096207637,5.0,2.278294318124855
baseline49C,m,4.9377192982456135,1.9734696255547268,4.997368421052632,2.3466964362587888
baseline49C,s,4.523076923076923,2.3956607195929918,4.67948717948718,2.5581839248287763
preManip49C,c,3.98974358974359,1.9714580103686423,3.894871794871795,2.060065402813577
preManip49C,l,4.756756756756757,2.153877709896546,4.786486486486487,2.0145529090652903
preManip49C,m,4.863513513513513,1.5880180051707196,4.782432432432432,1.943754177768182
preManip49C,s,4.0825000000000005,1.7134292350691767,4.025,1.7474890410866528
postManip49C,c,4.672727272727273,2.4168071784482605,4.643421052631578,2.4611290377285946
postManip49C,l,4.231578947368422,1.913410039715834,4.189473684210526,1.9866839781451127
postManip49C,m,3.332857142857143,1.4841892754574877,2.8200000000000003,1.5789925241445408
postManip49C,s,3.7333333333333334,1.6794944937051641,2.9358974358974357,1.4053445315514888
