variable,,SS,MS,NumDF,DenomDF,F-stat,P-val,Sig
int,group,0.9162023429677632,0.3054007809892544,3,115.32253302572163,0.2271205716373705,0.877361359439272,
int,task,44.06127944117963,22.030639720589814,2,641.2189185650524,16.383754719518457,1.1493828039138592e-07,***
int,gender,0.9487787719553596,0.9487787719553596,1,115.60128842239546,0.7055881662970784,0.4026462411123264,
int,group:task,101.50281083899688,16.917135139832812,6,641.1530614312832,12.58094164323917,1.9352740000959802e-13,***
int,group:gender,1.7111562430937584,0.5703854143645861,3,115.32253369209819,0.4241844468913174,0.7360197446897307,
int,task:gender,5.876881570138882,2.938440785069441,2,641.2189186089646,2.1852607863861917,0.1132851563675865,
int,group:task:gender,15.594522017303838,2.599087002883973,6,641.1530614201864,1.9328900336081263,0.07332773133865332,.
unp,group,4.085862690366548,1.3619542301221825,3,115.95171972687434,0.8090571290292393,0.4913267880982325,
unp,task,145.82769837587398,72.91384918793699,2,641.0333865703967,43.313841380096186,2.2700721690740697e-18,***
unp,gender,3.632584461451629,3.632584461451629,1,116.26793427878864,2.157905376214164,0.1445384383784718,
unp,group:task,151.2304981125488,25.20508301875813,6,640.9672169217114,14.972861534613143,4.536928746115016e-16,***
unp,group:gender,1.5133369604640468,0.5044456534880156,3,115.95171978808186,0.2996615768252939,0.8255815345750921,
unp,task:gender,6.372111781672447,3.1860558908362235,2,641.0333866051252,1.8926489414665586,0.1515131584996305,
unp,group:task:gender,10.840999333051283,1.8068332221752137,6,640.9672169459468,1.073333645901291,0.3770081047283617,
