variable,,Contrast,group,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,P-fdr,Sig
nps,1,postManip49C - preManip49C,c,0.019,-0.16,0.199,0.091,338.061,0.212,0.832,0.966,
nps,2,postManip49C - preManip49C,l,-0.057,-0.315,0.201,0.131,338.229,-0.432,0.666,0.966,
nps,3,postManip49C - preManip49C,s,0.006,-0.246,0.257,0.128,338.251,0.043,0.966,0.966,
nps,4,postManip49C - preManip49C,m,-0.678,-0.865,-0.492,0.095,338.724,-7.156,0.0,0.0,***
na,1,postManip49C - preManip49C,c,-0.055,-0.236,0.126,0.092,338.333,-0.598,0.55,0.7333333333333334,
na,2,postManip49C - preManip49C,l,0.032,-0.228,0.292,0.132,338.48,0.244,0.808,0.808,
na,3,postManip49C - preManip49C,s,-0.203,-0.456,0.05,0.129,338.499,-1.578,0.116,0.232,
na,4,postManip49C - preManip49C,m,-0.478,-0.666,-0.29,0.096,338.914,-5.005,0.0,0.0,***
siips,1,postManip49C - preManip49C,c,0.087,-0.069,0.242,0.079,338.063,1.097,0.273,0.36400000000000005,
siips,2,postManip49C - preManip49C,l,-0.259,-0.482,-0.035,0.114,338.162,-2.277,0.023,0.046,*
siips,3,postManip49C - preManip49C,s,0.345,0.128,0.563,0.111,338.175,3.119,0.002,0.008,**
siips,4,postManip49C - preManip49C,m,-0.02,-0.181,0.142,0.082,338.456,-0.239,0.811,0.811,
